name,rating,votes,salary,sectors,location
TCS,3.3,1.2L,10.4L,IT Services & Consulting ,Bengaluru
Accenture,3.7,75.4k,7.2L,IT Services & Consulting ,Bengaluru
Wipro,3.6,66.5k,4.9L,IT Services & Consulting ,Hyderabad
Cognizant,3.7,62.8k,6.1L,IT Services & Consulting ,Hyderabad
Capgemini,3.6,54.9k,4.9L,IT Services & Consulting ,Bengaluru
HDFC Bank,3.8,54k,1.5L,Banking ,Mumbai
Infosys,3.5,50k,5.3L,IT Services & Consulting ,Bengaluru
HCLTech,3.4,47.1k,3.9L,IT Services & Consulting ,Chennai
ICICI Bank,3.9,46.8k,1.6L,Banking ,Mumbai
Tech Mahindra,3.3,44.3k,2.9L,IT Services & Consulting ,Hyderabad
Genpact,3.6,43.5k,2.4L,Analytics & KPO ,Hyderabad
TP,3.9,39.7k,1L,BPO ,Mumbai
Axis Bank,3.6,34.2k,1L,Banking ,Mumbai
Jio,4.4,34.1k,61.4k,Telecom ,Mumbai
Concentrix Corporation,3.5,33k,1.3L,BPO ,Bengaluru
Amazon,3.9,32.5k,1.6L,Internet ,Bengaluru
Reliance Retail,3.9,27.8k,74.9k,Retail ,Mumbai
iEnergizer,4.6,27.6k,25.1k,BPO ,Noida
LTM Limited,3.6,27.1k,2L,IT Services & Consulting ,Bengaluru
HDB Financial Services,3.9,26.3k,49.3k,NBFC ,Mumbai
IBM,3.9,26.3k,2.2L,IT Services & Consulting ,Bengaluru
Larsen & Toubro Limited,3.9,24.5k,76.9k,Engineering & Construction ,Mumbai
Deloitte,3.6,24k,2.8L,Management Consulting ,Hyderabad
Kotak Mahindra Bank,3.6,23.1k,88.4k,Banking ,Mumbai
Reliance Industries,4.0,20.7k,75.5k,Oil & Gas ,Jamnagar
Vodafone Idea,3.9,17.9k,48.4k,Telecom ,Pune
Bharti Airtel,3.8,17.4k,50.4k,Telecom ,Gurugram
BYJU'S,3.2,16.4k,50.1k,EdTech ,Bengaluru
WNS,3.3,15.7k,71.5k,IT Services & Consulting ,Pune
IDFC FIRST Bank,4.0,15.4k,50.9k,Banking ,Mumbai
Ernst & Young,3.4,15k,1.5L,Management Consulting ,Bengaluru
IndusInd Bank,3.4,14.6k,52.8k,Banking ,Mumbai
AU Small Finance Bank,3.8,14.6k,30.6k,Banking ,Jaipur
Tata Motors,4.1,14.5k,44.3k,Automobile ,Pune
Bajaj Finserv,3.9,13.6k,32.2k,NBFC ,Pune
Muthoot FinCorp,4.5,13.4k,9.7k,NBFC ,Bengaluru
Flipkart,3.9,13.4k,56.6k,Internet ,Bengaluru
PwC,3.3,13.1k,1.3L,Management Consulting ,Bengaluru
Mahindra & Mahindra,4.0,12.5k,41.5k,Automobile ,Pune
HDFC Life,3.8,12.4k,34.3k,Insurance ,Mumbai
Infosys BPM,3.5,12.4k,78.3k,BPO ,Bengaluru
DXC Technology,3.6,12.3k,75.1k,IT Services & Consulting ,Bengaluru
Bandhan Bank,3.7,11.6k,27.5k,Banking ,Kolkata
Digitide Solutions,3.4,10.6k,27.3k,IT Services & Consulting ,Hyderabad
Yes Bank,3.7,10.5k,43.7k,Banking ,Mumbai
Mphasis,3.3,10.5k,75.5k,IT Services & Consulting ,Bengaluru
Tata Steel,4.0,10.2k,34.8k,Iron & Steel ,Jamshedpur
Quess,3.8,10k,31.9k,Recruitment ,Bengaluru
Asian Paints,3.9,9.9k,26.6k,Chemicals ,Mumbai
Startek,3.0,9.8k,25k,BPO ,Bengaluru
UltraTech Cement,4.1,9.8k,25.2k,Building Material ,Mumbai
Maruti Suzuki,4.1,9.8k,29.6k,Automobile ,Gurugram
